Experiment,Acc Mean,Acc Std,F1 Mean,F1 Std
Audio_SelfVideo,0.8480053191489361,0.0038906220314701,0.847963968221638,0.0038867361742318
Full_Dyadic,0.8545212765957448,0.0055692530828116,0.8542921957360987,0.005777423618497
No_Audio,0.8356382978723405,0.002201189542187,0.8354911932813076,0.0022005327098771
No_Partner,0.8527925531914894,0.00313559205387,0.8524146040943867,0.0031837925485959
No_SelfVideo,0.7897606382978724,0.005035663890628,0.7881462715345564,0.0054606939494171
No_Text,0.8511968085106382,0.006627625422541,0.851092203949585,0.0065337184822675
Only_PartnerVideo,0.5920212765957447,0.0088568222368865,0.5836300552964141,0.0091251190618095
Only_SelfVideo,0.8386968085106382,0.0028083393725987,0.8386035135175881,0.0028208711928096
SelfVideo_PartnerVideo,0.839627659574468,0.0059677674660416,0.8394993720761319,0.0059769548552906
Audio_DyadicFAU,0.8667553191489361,0.0044224173266797,0.8666431660543402,0.0044518097663933
Audio_FAU_Only,0.8541223404255319,0.0071685276446508,0.8534212172757416,0.0077598096190057
Body_Only,0.7329787234042553,0.0059855199121951,0.732370644636329,0.005845778328447
Body_Speaker_FAU_Partner,0.7376329787234044,0.0049862588455459,0.7363052309777763,0.0048447060652922
FAU_Body,0.851063829787234,0.0049220094476919,0.8509087994460142,0.0050725123370052
FAU_Gaze,0.8337765957446809,0.0027575054991127,0.8330188831560849,0.0029487201622734
FAU_Head,0.8363031914893618,0.0057566119207216,0.8362262822336068,0.0057801579696763
FAU_Only,0.831781914893617,0.0066887108191272,0.8312426920341274,0.0068615726779499
Face_Only,0.8384308510638299,0.0045485721745976,0.8382866482982421,0.0044645505880404
Full_Visual_Dyadic,0.8422872340425531,0.0045949873785029,0.8422022877624556,0.0045849917524045
Gaze_Only,0.5831117021276595,0.0749992926630293,0.5186759172315845,0.1265468747601797
Head_Only,0.7191489361702128,0.0043212970237425,0.7190314245816086,0.0042404083550922
Audio_DyadicFAUBody,0.857313829787234,0.0024375402632743,0.8572855657722736,0.0024373531901696
